Timestamp,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The DebuggerLevel,Test ExecutorLevel,The TesterLevel,The Tester - AdvancedLevel,Take some breaksLevel,Make Your ChoiceLevel,On the WatchLevel,Break the LineLevel,Break the MethodLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The DebuggerProgress,Test ExecutorProgress,The TesterProgress,The Tester - AdvancedProgress,Take some breaksProgress,Make Your ChoiceProgress,On the WatchProgress,Break the LineProgress,Break the MethodProgress,Assert and TestedProgress
2026-03-13 08:38:42.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-13 08:38:42.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-03-13 08:41:24.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-03-13 08:41:25.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2026-03-13 08:41:25.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2026-03-13 08:41:25.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
2026-03-13 08:41:25.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
2026-03-13 08:41:25.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
2026-03-13 08:41:25.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13
2026-03-13 08:41:25.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14
2026-03-13 08:41:25.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16
2026-03-13 08:41:25.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2026-03-13 08:41:25.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18
2026-03-13 08:41:25.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19
2026-03-13 08:41:25.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19
2026-03-13 08:41:25.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20
